"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"1842","fd-38492299","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38492299.html","clean","1 360","89  ","3",NA,NA,NA,"31300","50","35"
"1843","fd-39390054","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39390054.html","clean","1 030","88  ","4",NA,NA,NA,"31400","03","24"
"1844","fd-39623082","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39623082.html","clean","1 025","68  ","2","1"," 1",NA,"31000","01","25"
"1845","fd-37125515","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37125515.html","clean","1 059","58  ","3","2"," 1",NA,"31000",NA,NA
"1846","fd-39440171","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39440171.html","clean","1 250","124  ","4","3",NA,NA,"31000",NA,NA
"1847","fd-39585370","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39585370.html","clean","1 105","77  ","3","2",NA,NA,"31000",NA,NA
"1848","fd-39289852","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39289852.html","clean","1 400","73  ","3",NA,NA,NA,"31000",NA,NA
"1849","fd-39121004","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39121004.html","clean","1 390","86  ","3",NA,NA,NA,"31000","50","35"
"1850","fd-39374111","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39374111.html","clean","1 062","70  ","3",NA,NA,NA,"31000","30","20"
"1851","fd-39415268","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39415268.html","clean","1 034","68  ","3",NA,NA,NA,"31000",NA,NA
"1852","fd-39740961","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39740961.html","clean","1 420","119  ","4","3"," 1","1975","31000","87","76"
"1853","fd-37545434","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37545434.html","clean","1 399","105  ","5","4"," 2","1969","31500","53","35"
"1854","fd-39037219","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39037219.html","clean","1 015","99  ","4","3"," 1","2004","31200","75","16"
"1855","fd-39730186","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39730186.html","clean","1 440","118  ","4","3"," 2",NA,"31500","36","31"
"1856","fd-39729265","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39729265.html","clean","1 066","98  ","4","3"," 4",NA,"31300",NA,NA
"1857","fd-37864216","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37864216.html","clean","1 095","81  ","4","3"," 5",NA,"31000","57","6"
"1858","fd-39721307","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39721307.html","clean","1 400","91  ","4","3"," 8",NA,"31000",NA,NA
"1859","fd-39641053","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39641053.html","clean","1 129","85  ","4","3"," 2",NA,"31000","17","27"
"1860","fd-39489730","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39489730.html","clean","1 010","90  ","4","3"," 3","2016","31300","52","1"
"1861","fd-39714397","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39714397.html","clean","1 435","92  ","3","2"," 2",NA,"31000",NA,NA
"1862","fd-39636929","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39636929.html","clean","1 057","87  ","4","3"," 3",NA,"31000","73","40"
"1863","fd-39547089","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39547089.html","clean","1 280","94  ","5","3"," 4","1800","31000",NA,NA
"1864","fd-39706612","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39706612.html","clean","1 250","58  ","2","1"," 3",NA,"31000","89","9"
"1865","fd-39029606","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39029606.html","clean","1 140","73  ","3","2"," 1",NA,"31300","97","9"
"1866","fd-39705729","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39705729.html","clean","1 075","81  ","3","2"," 1",NA,"31000",NA,NA
"1867","fd-38492299","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38492299.html","clean","1 360","89  ","3",NA,NA,NA,"31300","50","35"
"1868","fd-39390054","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39390054.html","clean","1 030","88  ","4",NA,NA,NA,"31400","03","24"
"1869","fd-39623082","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39623082.html","clean","1 025","68  ","2","1"," 1",NA,"31000","01","25"
"1870","fd-37125515","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37125515.html","clean","1 059","58  ","3","2"," 1",NA,"31000",NA,NA
"1871","fd-39440171","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39440171.html","clean","1 250","124  ","4","3",NA,NA,"31000",NA,NA
"1872","fd-39585370","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39585370.html","clean","1 105","77  ","3","2",NA,NA,"31000",NA,NA
